sentence,vars,names,variable_position
The loading term becomes relevant at a time τ ,['τ'],a time,['end']
we get easily for the rupture force  f ∗ ,['f'],the rupture force,['end']
Green’s theorem can be used to show that the volume integral is proportional to the mode-overlap integral  d3xG(x)H(x) ,['d3xG(x)'],the volume,['end']
at a ﬁxed point x,['x'],['point'],['end']
it will be quite small (|K| is large) around the point x ,['x'],the point,['end']
we will obtain the maximum value of the quantity F .,['F'],the quantity,['end']
the distance between two balls - is λ ,['λ'],two balls,['end']
the equation of circles in this coordinate is  ρ ,['ρ'],this coordinate,['end']
This softens variation of deviation angle of trajectory α,['α'],trajectory,['end']
the probability trajectory of particle is completely able to expressed as a vector function  ψ ,['ψ'],a vector function,['end']
Conservation of wave action (CWA),['(CWA)'],wave action,['end']
the system size becomes O,['O'],the system size,['end']
U(x) denotes surface ﬂows varying on length scales of O much greater than a typical wavelength,['U(x)'],surface,['start']
In deriving (4.1) we have inverse Fourier transformed back to the slow ﬁeld point variable x,['x'],the slow ﬁeld point variable,['end']
depths h. The velocity shown by the solid horizontal line U (b).,['U (b)'],the solid horizontal line,['end']
Assuming that all water waves have frequency ω0,['ω0'],frequency,['end']
we have used the Wigner distribution to derive the transport equations for water wave propagation over a spatially random drift composed of a slowly varying part U(x),['U(x)'],a slowly varying part,['end']
the distance between two balls - is λ ,['λ'],two balls,['end']
the equation of circles in this coordinate is  ρ ,['ρ'],this coordinate,['end']
This softens variation of deviation angle of trajectory α,['α'],trajectory,['end']
the probability trajectory of particle is completely able to expressed as a vector function  ψ ,['ψ'],a vector function,['end']
Higgs/year assumes a cross section σ ,['σ'],cross section,['end']
Possible arrangement of tungsten shielding near the interaction point (IP),['(IP)'],the interaction point,['end']
paraphrasing Boltzmann’s lapidary formula S ,['S'],formula,['end']
somehow resembling Einstein’s suggestion  for the equilibrium entropy S(x).,['S(x)'],the equilibrium entropy,['end']
Higgs/year assumes a cross section σ ,['σ'],cross section,['end']
Possible arrangement of tungsten shielding near the interaction point (IP),['(IP)'],the interaction point,['end']
paraphrasing  Boltzmann’s lapidary formula S ,['S'],formula,['end']
somehow resembling Einstein’s suggestion  for the equilibrium entropy S(x).,['S(x)'],the equilibrium entropy,['end']
the transformation above leads us to a (three-dimensional) localized solution rigidly trav-  elling with Superluminal speed v ,['v'],Superluminal speed,['end']
by imposing the boundary condition ψ ,['ψ'],the boundary condition,['end']
while the ﬁrst initial condition gets the form φ(ρ) ,['φ(ρ)'],the form,['end']
for a metallic (normal-sized) waveguide with radius r ,['r'],radius,['end']
"To achieve the needed intensity of a positron source (Ne+,pol ∼ 1010 particles/bunch) it is suggested to use an undulator of the length L >m ",['L'],the length,['end']
will have a lower energy  k ,['k'],energy,['end']
The particular transformation chosen is  f ,['f'],The particular transformation,['end']
1 gives the initial condition F  ,['F'],the initial condition,['end']
In this case the potential plays a much more dominant role in holding the particle together than in the case ǫ ,['ǫ'],the case,['end']
the ratio of the mass of the nth excited state to the ground state is given by the expression  ≃  mn m0  ,['m0'],≃ mn,['end']
its source lies outside the surface S ,['S'],the surface,['end']
Thus we move ~Jc outside the surface S,['S'],the surface,['end']
plus waves δ~ε (~r) scattered by the overlayer δχ (z).,['δχ (z)'],the overlayer,['end']
of the random process X ,['X'],the random process,['end']
There of the rate after a period t,['t'],a period,['end']
0 for any time t .,['t'],time,['end']
we need to specify the following two parameters: the expiration or maturing time T ,['T'],maturing time,['end']
needed or obtained at time t,['t'],time,['end']
Consider a time period of duration T ,['T'],duration,['end']
Estimates of the entropy of an inhomogeneous Poisson process with mean rate r(t) ,['r(t)'],mean rate,['end']
of the random process X ,['X'],the random process,['end']
There of the rate after a period t,['t'],a period,['end']
0 for any time t .,['t'],time,['end']
we need to specify the following two parameters: the expiration or maturing time T ,['T'],maturing time,['end']
needed or obtained at time t,['t'],time,['end']
Consider a time period of duration T ,['T'],duration,['end']
Estimates of the entropy of an inhomogeneous Poisson process with mean rate r(t) ,['r(t)'],mean rate,['end']
Use  Low  Performance  High  System  Diskless  Client  /export/home  -none-  necessary”)  No  root (/),['(/)'],['root'],['end']
High  Low  /home  AutoClient  cached root (/),['(/)'],['root'],['end']
Consider a time period of duration T ,['T'],duration,['end']
There are 2L possible words when examining data from a time window of duration T .,['T'],duration,['end']
C.    The unconditional response probabilities are simply p({ta only leading order terms yields for the ﬁrst order total entropy  i }) ,['i'],total entropy,['end']
Sample Quartzite Serpentine Surrounding mine rock  U,['U'],rock,['end']
is described by a  Langevin  equation  with  simple  additive  noise h ,['h'],simple additive noise,['end']
The  formula  for  pricing  an  option P,['P'],an option,['end']
involving an intermediate derivation of a corresponding Fokker-Planck or Schr¨odinger-type equation for  the  conditional  probability  distribution P[M(t)|M(t0)],['M(t)'],the conditional probability distribution,['end']
With respect to a steady state P,['P'],a steady state,['end']
for the above set of equations is  P ,['P'],equations,['end']
Its cumulative probability distribution is  GT (y) ,['GT (y)'],probability distribution,['end']
We use a standard deviation s ¢ ,['s'],deviation,['end']
which  is  the  expected value  V ,['V'],the expected value,['end']
cost of carry on stock paying dividend yield q ,['q'],carry,['end']
cost of carry on currency with rate r f ,['r'],rate,['end']
where it is folded with the function O,['O'],the function,['end']
by a modiﬁcation of an extended classical over–barrier model (ECBM),['(ECBM)'],an extended classical over–barrier model,['end']
The total energy of the electron is  E ,['E'],the electron,['end']
always at time t. The fraction of losses in the interval t,['t'],the interval,['end']
After integration over momentum variables one gets instead a spatial distribution function   fmc(r) ,['fmc(r)'],a spatial distribution function,['end']
The enveloping curve shows a section of the equipotential surface U ,['U'],the equipotential surface,['end']
by a modiﬁcation of an extended classical over–barrier model (ECBM),['(ECBM)'],an extended classical over–barrier model,['end']
The total energy of the electron is  E ,['E'],the electron,['end']
always at time t. The fraction of losses in the interval t,['t'],the interval,['end']
After integration over momentum variables one gets instead a spatial distribution function   fmc(r) ,['fmc(r)'],a spatial distribution function,['end']
The enveloping curve shows a section of the equipotential surface U ,['U'],the equipotential surface,['end']
is described by  a  Langevin  equation  with  simple  additive  noise h ,['h'],simple additive noise,['end']
originally called Very Fast Simulated Reannealing (VFSR) ,['(VFSR)'],['Reannealing'],['end']
